C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationManager.ts: line 1052, col 26, Warning - 'config' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationManager.ts: line 1061, col 31, Warning - 'config' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationManager.ts: line 1069, col 35, Warning - 'config' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationManager.ts: line 1077, col 41, Warning - 'config' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\ConfigurationManager.ts: line 1104, col 49, Warning - 'fromVersion' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\HardwareCalibrationManager.ts: line 7, col 3, Warning - 'SensorCalibrations' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\HardwareCalibrationManager.ts: line 8, col 3, Warning - 'DisplayCalibrations' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\HardwareCalibrationManager.ts: line 9, col 3, Warning - 'InputCalibrations' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\HardwareCalibrationManager.ts: line 10, col 3, Warning - 'AudioCalibrations' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\HardwareCalibrationManager.ts: line 11, col 3, Warning - 'NetworkCalibrations' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\HardwareCalibrationManager.ts: line 815, col 40, Warning - 'sensor' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\HardwareCalibrationManager.ts: line 829, col 41, Warning - 'sensorId' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\PlatformAdapter.ts: line 8, col 3, Warning - 'ConfigurationMetadata' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\PlatformAdapter.ts: line 284, col 11, Warning - 'homedir' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\PlatformAdapter.ts: line 285, col 11, Warning - 'tmpdir' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\config\UserPreferenceManager.ts: line 610, col 15, Warning - 'section' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
